Site,Chamber,DateField,DateLabBegin,DateLabEnd,SampleID,SoilWetWeight_DarroPlasBaggie,SoilWetWeight_TownOnArrival,SoilDryWeight_TownPapBag,TownBagType,SoilWetWeight_DarroMinusBaggie,SoilDryWeight_TownMinusPapBag,SoilWetDryWeight_MassDifference,SoilMoisture_DryWeightBasis,SampleIDVialExt,ExtractionSoilWeight,ExtractionKCl,SampleIDVialInc,IncubationSoilWeight_80g,IncubationSoilWeight,IncubationKCl,DateLabBeginInc,DateLabEndInc,SampleIDVialIncDOC,DOCSoilWeight,DOCDIWater,DateLabBeginDOC,DateLabEndDOC,Comments,
S1,E,30/1/2014,30/1/2014,,S1E_30012014,167.47,,144.5,small,164.38,142.09,22.29,0.156872405,extr S1E_30012014,9.69,50,incub S1E_30012014,,9.88,50,30/1/2014,,DOC S1E_30012014,5.16,25,30/1/2014,,,
Ext Blank,NA,NaN,30/1/2014,,ext bnk 30012014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 30012014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
Ext Blank,NA,NaN,30/1/2014,,ext bnk 30012014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 30012014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
Ext Blank,NA,NaN,30/1/2014,,ext bnk 30012014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 30012014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
DOC Blank,NA,NaN,30/1/2014,,DOC bnk 30012014,NA,,NA,NA,NA,NA,NA,NA,DOC bnk 30012014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
DOC Blank,NA,NaN,30/1/2014,,DOC bnk 30012014,NA,,NA,NA,NA,NA,NA,NA,DOC bnk 30012014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
DOC Blank,NA,NaN,30/1/2014,,DOC bnk 30012014,NA,,NA,NA,NA,NA,NA,NA,DOC bnk 30012014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2,A,5/2/14,5/2/14,,F2A_05022014,186.19,,152.2,small,183.1,149.79,33.31,0.222377996,extr F2A_05022014,10.07,50,incub F2A_05022014,,10.1,50,5/2/14,,DOC F2A_05022014,4.95,25,5/2/14,,,
F2,B,5/2/14,5/2/14,,F2B_05022014,166.88,,137.7,small,163.79,135.29,28.5,0.210658585,extr F2B_05022014,9.95,50,incub F2B_05022014,,10.12,50,5/2/14,,DOC F2B_05022014,5.13,25,5/2/14,,,
F2,C,5/2/14,5/2/14,,F2C_05022014,131.91,,105.1,small,128.82,102.69,26.13,0.254455156,extr F2C_05022014,10.69,50,incub F2C_05022014,,10.57,50,5/2/14,,DOC F2C_05022014,4.91,25,5/2/14,,,
F2,D,5/2/14,5/2/14,,F2D_05022014,170.74,,141.5,small,167.65,139.09,28.56,0.205334675,extr F2D_05022014,10.68,50,incub F2D_05022014,,9.61,50,5/2/14,,DOC F2D_05022014,5.08,25,5/2/14,,,
F2,E,5/2/14,5/2/14,,F2E_05022014,177.75,,146.7,small,174.66,144.29,30.37,0.210478897,extr F2E_05022014,10.1,50,incub F2E_05022014,,10.23,50,5/2/14,,DOC F2E_05022014,4.92,25,5/2/14,,,
Ext Blank,NA,NaN,5/2/14,,ext bnk 05022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 05022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
Ext Blank,NA,NaN,5/2/14,,ext bnk 05022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 05022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
Ext Blank,NA,NaN,5/2/14,,ext bnk 05022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 05022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
DOC Blank,NA,NaN,5/2/14,,DOC bnk 05022014,NA,,NA,NA,NA,NA,NA,NA,DOC bnk 05022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
DOC Blank,NA,NaN,5/2/14,,DOC bnk 05022014,NA,,NA,NA,NA,NA,NA,NA,DOC bnk 05022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
DOC Blank,NA,NaN,5/2/14,,DOC bnk 05022014,NA,,NA,NA,NA,NA,NA,NA,DOC bnk 05022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,A,6/2/14,6/2/14,,F1A_06022014,129.53,,106.8,small,126.44,104.39,22.05,0.211227129,extr F1A_06022014,9.98,50,incub F1A_06022014,,10.68,50,6/2/14,,DOC F1A_06022014,4.96,25,6/2/14,,GOT FUCKED UP; ABANDONED THIS LAB WORK,
F1,B,6/2/14,6/2/14,,F1B_06022014,180.73,,146.8,small,177.64,144.39,33.25,0.230279105,extr F1B_06022014,9.9,50,incub F1B_06022014,,9.7,50,6/2/14,,DOC F1B_06022014,5.08,25,6/2/14,,GOT FUCKED UP; ABANDONED THIS LAB WORK,
F1,C,6/2/14,6/2/14,,F1C_06022014,177.32,,143.3,small,174.23,140.89,33.34,0.236638512,extr F1C_06022014,10.18,50,incub F1C_06022014,,10.01,50,6/2/14,,DOC F1C_06022014,4.85,25,6/2/14,,GOT FUCKED UP; ABANDONED THIS LAB WORK,
F1,D,6/2/14,6/2/14,,F1D_06022014,166.8,,135.8,small,163.71,133.39,30.32,0.227303396,extr F1D_06022014,10.47,50,incub F1D_06022014,,10.06,50,6/2/14,,DOC F1D_06022014,5.38,25,6/2/14,,GOT FUCKED UP; ABANDONED THIS LAB WORK,
F1,E,6/2/14,6/2/14,,F1E_06022014,158.52,,117.7,small,155.43,115.29,40.14,0.348165496,extr F1E_06022014,9.91,50,incub F1E_06022014,,9.72,50,6/2/14,,DOC F1E_06022014,4.65,25,6/2/14,,GOT FUCKED UP; ABANDONED THIS LAB WORK,
M2,A,6/2/14,6/2/14,,M2A_06022014,116.9,,94.7,small,113.81,92.29,21.52,0.233178026,extr M2A_06022014,10.34,50,incub M2A_06022014,,9.76,50,6/2/14,,DOC M2A_06022014,5.02,25,6/2/14,,GOT FUCKED UP; ABANDONED THIS LAB WORK,
M2,B,6/2/14,6/2/14,,M2B_06022014,149.67,,123.6,small,146.58,121.19,25.39,0.209505735,extr M2B_06022014,10.86,50,incub M2B_06022014,,9.73,50,6/2/14,,DOC M2B_06022014,4.74,25,6/2/14,,GOT FUCKED UP; ABANDONED THIS LAB WORK,
M2,C,6/2/14,6/2/14,,M2C_06022014,145.71,,118.3,small,142.62,115.89,26.73,0.230649754,extr M2C_06022014,10.02,50,incub M2C_06022014,,9.9,50,6/2/14,,DOC M2C_06022014,4.88,25,6/2/14,,GOT FUCKED UP; ABANDONED THIS LAB WORK,
M2,D,6/2/14,6/2/14,,M2D_06022014,134.58,,109.5,small,131.49,107.09,24.4,0.227845737,extr M2D_06022014,9.78,50,incub M2D_06022014,,9.78,50,6/2/14,,DOC M2D_06022014,4.87,25,6/2/14,,GOT FUCKED UP; ABANDONED THIS LAB WORK,
M2,E,6/2/14,6/2/14,,M2E_06022014,127.32,,103.8,small,124.23,101.39,22.84,0.225268764,extr M2E_06022014,9.67,50,incub M2E_06022014,,10.11,50,6/2/14,,DOC M2E_06022014,4.86,25,6/2/14,,GOT FUCKED UP; ABANDONED THIS LAB WORK,
S?,A,6/2/14,6/2/14,,S?A_06022014,102.06,,82.9,small,98.97,80.49,18.48,0.229593738,extr S?A_06022014,10.75,50,incub S?A_06022014,,9.54,50,6/2/14,,DOC S?A_06022014,4.8,25,6/2/14,,GOT FUCKED UP; ABANDONED THIS LAB WORK,
S?,B,6/2/14,6/2/14,,S?B_06022014,134.95,,110.3,small,131.86,107.89,23.97,0.222170729,extr S?B_06022014,10.42,50,incub S?B_06022014,,9.79,50,6/2/14,,DOC S?B_06022014,4.78,25,6/2/14,,GOT FUCKED UP; ABANDONED THIS LAB WORK,
S?,C,6/2/14,6/2/14,,S?C_06022014,186.02,,151.5,small,182.93,149.09,33.84,0.226976994,extr S?C_06022014,9.85,50,incub S?C_06022014,,9.64,50,6/2/14,,DOC S?C_06022014,5.29,25,6/2/14,,GOT FUCKED UP; ABANDONED THIS LAB WORK,
S?,D,6/2/14,6/2/14,,S?D_06022014,151.69,,123.6,small,148.6,121.19,27.41,0.226173777,extr S?D_06022014,10.58,50,incub S?D_06022014,,9.6,50,6/2/14,,DOC S?D_06022014,5.17,25,6/2/14,,GOT FUCKED UP; ABANDONED THIS LAB WORK,
