Site	LUtype	Chamber	SampleDate	Season	StartTime	RowInter	AirTmpStart	AirTmpEnd	SoilTmpEnd	SoilMoisPercent	DOC	NFert	FertDateMaizePlanting	FertTimeElapsedMaizePlanting	FertDateMaizeBroadcast	FertTimeElapsedMaizeBroadcast		
M1	M	C	2013.06.14	Dry	9:45	NA	31.0	28.0	24.0	0.158936003	NA	Y	2014.03.04	-263	Unknown	NA		
M1	M	D	2013.06.14	Dry	9:45	NA	31.0	28.0	24.0	0.173184358	NA	Y	2014.03.04	-263	Unknown	NA		
M1	M	E	2013.06.14	Dry	9:45	NA	31.0	28.0	24.0	0.148462944	NA	Y	2014.03.04	-263	Unknown	NA		
M1	M	A	2013.06.20	Dry	8:20	NA	24.0	26.0	21.0	0.138756845	NA	Y	2014.03.04	-257	Unknown	NA		
M1	M	B	2013.06.20	Dry	8:20	NA	24.0	26.0	23.0	0.130884279	NA	Y	2014.03.04	-257	Unknown	NA		
M1	M	C	2013.06.20	Dry	8:20	NA	24.0	26.0	25.0	0.141248201	NA	Y	2014.03.04	-257	Unknown	NA		
M1	M	D	2013.06.20	Dry	8:20	NA	24.0	26.0	23.0	0.134609083	NA	Y	2014.03.04	-257	Unknown	NA		
M1	M	E	2013.06.20	Dry	8:20	NA	24.0	26.0	24.0	0.136525133	NA	Y	2014.03.04	-257	Unknown	NA		
M1	M	A	2013.06.25	Dry	9:40	NA	25.5	32.0	25.0	0.147108089	NA	Y	2014.03.04	-252	Unknown	NA		
M1	M	B	2013.06.25	Dry	9:40	NA	25.5	32.0	24.0	0.129350037	NA	Y	2014.03.04	-252	Unknown	NA		
M1	M	C	2013.06.25	Dry	9:40	NA	25.5	32.0	25.0	0.141424345	NA	Y	2014.03.04	-252	Unknown	NA		
M1	M	D	2013.06.25	Dry	9:40	NA	25.5	32.0	24.0	0.140063744	NA	Y	2014.03.04	-252	Unknown	NA		
M1	M	E	2013.06.25	Dry	9:40	NA	25.5	32.0	24.0	0.130117058	NA	Y	2014.03.04	-252	Unknown	NA		
M1	M	A	2013.06.27	Dry	9:40	NA	28.0	36.5	24.0	0.127939342	NA	Y	2014.03.04	-250	Unknown	NA		
M1	M	B	2013.06.27	Dry	9:40	NA	28.0	36.5	28.0	0.137014142	NA	Y	2014.03.04	-250	Unknown	NA		
M1	M	C	2013.06.27	Dry	9:40	NA	28.0	36.5	23.0	0.12723267	NA	Y	2014.03.04	-250	Unknown	NA		
M1	M	D	2013.06.27	Dry	9:40	NA	28.0	36.5	24.0	0.130341351	NA	Y	2014.03.04	-250	Unknown	NA		
